Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
Work,ANTI (Deluxe),Rihanna,1/28/2016,799,54.2,"1,399,521,364",73.0,"1,662,063,771","10,770,107",1,"8,814,930"
Normal,Normal,Feid,7/8/2022,804,54.1,"724,772,954",76.0,"395,704,504","1,556,356",1,"956,990"
Sum 2 Prove,Sum 2 Prove,Lil Baby,1/10/2020,807,54.0,"444,934,033",66.0,"411,628,542","2,868,681",1,"1,925,871"
Lottery (Renegade),Lottery,K CAMP,4/1/2019,808,54.0,"173,526,912",46.0,"102,774,513","1,300,907",1,"1,592,457"
Good Days,Good Days,SZA,12/25/2020,806,54.0,"1,105,805,922",77.0,"295,872,840","2,947,859",1,"2,548,829"
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/2021,810,53.9,"844,630,935",74.0,"269,892,715","2,020,373",0,"7,138,195"
Youngblood,Youngblood,5 Seconds of Summer,4/12/2018,811,53.9,"1,790,579,305",76.0,"792,369,989","7,627,895",0,"10,854,729"
Merayu Tuhan,Merayu Tuhan,Tri Suaka,8/15/2023,813,53.8,"8,517,888",43.0,"71,408,616","296,903",0,"20,886"
If We Being Rï¿½ï,2093,Yeat,2/16/2024,812,53.8,"92,517,121",80.0,"4,695,846","79,415",1,"1,371,705"
Can We Kiss Forever?,Can We Kiss Forever?,Kina,8/31/2018,815,53.7,"634,493,511",66.0,"325,005,278","4,709,406",0,"8,659,169"
Felices los 4,Felices los 4,Maluma,4/21/2017,814,53.7,"932,817,713",68.0,"2,349,558,424","9,318,868",0,"5,644,479"
Relaciï¿½,Relaciï¿½,Sech,4/2/2020,821,53.6,"468,900,803",60.0,"1,137,550,621","7,566,148",0,"1,507,000"
ELOVRGA,Elovrga - Single,Alex Favela,8/18/2023,819,53.6,"333,899,135",75.0,"180,084,509","900,128",1,"967,858"
Party Girl,Party Girl,StaySolidRocky,4/21/2020,816,53.6,"730,440,576",67.0,"199,161,217","2,037,639",0,"1,963,555"
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,817,53.6,"1,749,088,490",72.0,"1,489,647,996","7,616,181",0,"17,963,628"
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,7/9/2020,822,53.5,"391,856,304",58.0,"1,040,938,222","8,443,453",0,"1,570,803"
Human,Human,Rag'n'Bone Man,7/21/2016,824,53.4,"1,013,083,048",74.0,"1,900,272,147","12,302,869",0,"19,092,054"
snowfall,Snowfall - Single,ýýneheart,1/14/2022,828,53.3,"652,949,750",79.0,"46,232,838","980,365",0,"1,852,974"
First Love,First Love - Single,Oscar Maydon,12/7/2023,825,53.3,"230,291,754",78.0,"113,183,874","658,962",0,"1,277,194"
La_Original.mp3,La_Original.mp3,Emilia,11/2/2023,829,53.3,"184,441,175",73.0,"109,532,952","635,058",0,"400,818"
OA,OA,Anuel AA,10/13/2023,827,53.3,"178,950,943",80.0,"113,884,335","541,097",1,"595,427"
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,11/11/2022,830,53.3,"54,513,960",52.0,"183,119","2,667",0,"448,872"
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,8/28/2020,826,53.3,"574,505,748",58.0,"1,037,344,011","21,343,581",0,"1,430,212"
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,832,53.2,"75,894,056",84.0,"70,842,688","1,388,774",0,"113,020"
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,12/1/2023,838,53.1,"200,151,839",82.0,"11,597,448","140,956",0,"1,371,435"
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/24/2019,836,53.1,"1,285,518,117",74.0,"606,135,388","5,429,579",1,"3,638,588"
TO THE MOON,TO THE MOON,JNR CHOI,11/5/2021,834,53.1,"274,647,899",60.0,"64,640,927","776,716",1,"3,786,029"
Fancy Like,Country Stuff,Walker Hayes,6/4/2021,835,53.1,"328,697,441",66.0,"174,775,864","1,192,058",0,"2,520,013"
The Color Violet,Alone At Prom,Tory Lanez,12/10/2021,833,53.1,"806,918,358",79.0,"105,278,538","1,053,733",0,"2,322,363"
S91,S91,KAROL G,7/14/2023,840,53.0,"240,161,044",64.0,"164,645,464","1,308,408",0,"614,971"
LALISA,LALISA,LISA,9/10/2021,839,53.0,"502,655,066",73.0,"900,358,198","23,155,453",0,"1,084,041"
Levitating,Future Nostalgia,Dua Lipa,3/27/2020,841,52.9,"946,842,175",73.0,"39,855,160","660,222",0,"3,946,971"
RUBICON,Gï¿½ï¿½N,Peso Pluma,6/22/2023,844,52.9,"246,224,964",73.0,"147,798,315","492,303",1,"585,523"
Gimme Love,Gimme Love,Sia,9/13/2023,843,52.9,"105,947,434",6.0,"27,707,323","325,476",0,"1,684,376"
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,1/19/2024,848,52.8,"114,992,281",75.0,"144,797,885","1,123,962",0,"286,797"
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,847,52.8,"2,270,796,677",80.0,"1,738,647,396","12,375,429",0,"18,161,724"
Supalonely,STELLA & STEVE,BENEE,11/15/2019,845,52.8,"738,407,486",62.0,"363,250,356","4,622,840",1,"6,834,164"
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/2011,846,52.8,"2,080,878,370",76.0,"308,933,095","2,370,617",1,"26,993,119"
Spin Bout U,Her Loss,Drake,11/4/2022,856,52.6,"356,685,934",71.0,"56,086,730","430,375",1,"1,574,072"
From The Start,From The Start - Single,Laufey,5/11/2023,855,52.6,"368,256,958",73.0,"69,276,606","1,394,619",0,"1,011,059"
ZOOM,ZOOM,Jessi,4/13/2022,850,52.6,"166,161,044",61.0,"303,569,838","5,827,005",0,"778,299"
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/2015,851,52.6,"1,747,534,539",76.0,"1,689,190,795","8,927,108",0,"14,056,461"
Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Grupo Firme,3/30/2023,852,52.6,"213,405,904",70.0,"401,470,868","961,314",0,"655,854"
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,853,52.6,"436,722,440",62.0,"1,193,724,016","7,130,332",0,"6,761,782"
WHATS POPPIN,WHATS POPPIN,Jack Harlow,1/21/2020,854,52.6,"819,779,577",70.0,"709,454,117","7,190,778",1,"3,222,518"
POR EL CONTRARIO,ESQUINAS,Becky G,9/28/2023,857,52.5,"131,938,548",75.0,"118,669,957","649,548",0,"684,079"
Rara Vez,Rara Vez,Taiu,2/8/2023,860,52.4,"544,165,928",77.0,"200,445,038","1,806,923",0,"943,365"
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,4/29/2022,858,52.4,"269,491,606",66.0,"746,615,342","15,669,340",0,"797,357"
Whoï¿½ï¿½ï¿½s Afraid of Little O,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,862,52.3,"166,168,092",78.0,"16,423,009","244,859",0,"116,673"
THE LONELIEST,THE LONELIEST,Mï¿½ï¿½ne,10/7/2022,865,52.2,"330,593,989",67.0,"175,561,257","2,216,240",0,"4,266,103"
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2/8/2024,864,52.2,"89,513,100",75.0,"38,613,955","433,335",1,"446,156"
Nunca Es Suficiente,Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,4/20/2018,863,52.2,"478,494,818",67.0,"2,148,970,473","6,055,824",0,"3,116,053"
Copines,Copines,Aya Nakamura,8/24/2018,867,52.1,"381,322,519",67.0,"793,025,740","7,300,331",0,"5,305,717"
Thank God,Different Man,Kane Brown,9/9/2022,866,52.1,"157,341,967",67.0,"98,239,826","752,054",0,"1,100,920"
TQM,TQM - Single,Fuerza Regida,5/19/2023,869,51.8,"497,682,165",70.0,"143,949,357","729,741",1,"616,368"
Lily,Different World,Alan Walker,12/14/2018,870,51.8,"403,860,053",66.0,"1,057,546,150","7,402,999",0,"1,793,716"
Massive,"Honestly, Nevermind",Drake,6/17/2022,873,51.7,"253,114,498",65.0,"42,397,563","402,014",0,"2,091,080"
a lot,i am > i was,21 Savage,12/21/2018,872,51.7,"949,835,159",73.0,"905,118,647","6,526,285",1,"3,759,769"
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,871,51.7,"711,861,577",69.0,"1,359,220,447","4,586,141",0,"1,522,049"
Tek Baï¿½ï¿½,Tek Baï¿½ï¿½ï¿½ï¿½ma ,Semicenk,5/3/2024,875,51.6,"21,803,486",72.0,"39,172,911","208,885",0,"90,134"
Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,8/24/2017,876,51.6,"1,152,346,128",75.0,"1,922,214,505","18,201,048",0,"5,102,278"
WOKE UP,WOKE UP,XG,5/21/2024,877,51.5,"16,684,393",74.0,"19,177,238","873,736",0,"63,167"
Toki,Toki,Casper Magico,5/2/2024,878,51.5,"13,741,023",72.0,"39,658,915","635,184",0,"80,807"
Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,1/1/2017,881,51.4,"1,527,159,800",76.0,"1,270,330,281","8,766,754",0,"6,513,209"
El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,5/28/2024,880,51.4,"15,557,247",73.0,"16,286,691","216,933",0,"91,868"
ALV,"Sentimiento, Elegancia y Mï¿½ï¿½s Ma",Arcï¿½ï¿½,11/17/2023,882,51.4,"118,490,212",72.0,"158,132,299","835,029",0,"514,683"
In A Minute,In A Minute,Lil Baby,4/7/2022,879,51.4,"171,118,535",57.0,"238,335,324","1,764,954",1,"1,695,618"
Save Your Tears (with Ariana Grande) (Remix),After Hours (Deluxe),The Weeknd,3/20/2020,884,51.4,"1,549,317,525",73.0,"385,884,628","4,302,435",0,"3,251,107"
Jerusalema (feat. Nomcebo Zikode),Jerusalem,Master KG,11/29/2019,885,51.3,"406,132,477",66.0,"925,222,640","7,714,435",0,"15,915,419"
DENTRO DA HILUX,DENTRO DA HILUX - Single,Luan Pereira,8/24/2023,888,51.2,"178,699,480",24.0,"261,753,577","1,458,487",0,"121,733"
Funk do Patinho,Funk do Patinho,Bento e Totï¿,1/22/2022,887,51.2,"16,197,748",55.0,"967,275,295","1,562,052",0,"16,249"
El Amor de Mi Vida,El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,8/17/2023,886,51.2,"130,709,283",64.0,"248,099,324","859,237",0,"555,880"
Blueberry Faygo,Certified Hitmaker,Lil Mosey,11/8/2019,889,51.2,"1,295,251,940",67.0,"380,793,694","4,733,751",1,"2,786,545"
Jiggle Jiggle,Jiggle Jiggle,Duke & Jones,5/13/2022,891,51.2,"121,214,716",56.0,"12,801,028","183,570",0,"1,772,963"
En la Intimidad,En la Intimidad,Big One,2/1/2023,890,51.2,"210,712,407",65.0,"379,884,934","1,091,380",0,"261,474"
Counting Stars,Native (Standard),OneRepublic,1/1/2013,892,51.1,"2,466,006,842",81.0,"304,524,339","2,956,756",0,"118,910"
Essence (feat. Tems),Essence (feat. Tems),Wizkid,10/28/2020,893,51.0,"242,254,880",66.0,"418,190,794","2,892,075",0,"4,536,227"
Get Into It (Yuh),Planet Her,Doja Cat,6/25/2021,895,51.0,"603,196,133",68.0,"265,715,680","3,742,969",1,"2,436,551"
RAVE,RAVE,Dxrk ï¿½ï¿½ï¿½,3/18/2022,894,51.0,"415,552,038",71.0,"281,772,953","4,299,740",0,"2,994,271"
No Me Conoce,No Me Conoce,Jhay Cortez,2/22/2019,896,51.0,"49,585,127",47.0,"2,272,109,362","6,577,485",0,"466,976"
offline,att.,Young Miko,4/5/2024,900,50.9,"109,149,345",82.0,"21,230,788","190,160",1,"267,702"
TOPIA TWINS,UTOPIA,Travis Scott,7/28/2023,898,50.9,"196,369,387",74.0,"26,280,803","447,983",1,"310,132"
Janze,Janze,Xamdam Sobirov,7/31/2023,899,50.9,"344,691",30.0,"334,194,426","866,855",0,"407,695"
"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",Neha Kakkar,7/15/2019,897,50.9,"144,985,656",57.0,"1,662,729,195","8,178,016",0,"717,736"
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,10/5/2018,901,50.9,"1,269,760,706",76.0,"824,308,720","4,676,578",0,"9,755,956"
Monotonï¿½,Monotonï¿½,Shakira,10/19/2022,903,50.8,"498,744,348",67.0,"306,510,173","4,113,572",0,"913,182"
Thought You Should Know,Thought You Should Know,Morgan Wallen,5/6/2022,906,50.7,"340,227,841",73.0,"137,384,524","667,467",1,"857,184"
CAIRO,CAIRO,KAROL G,11/13/2022,904,50.7,"443,093,379",72.0,"273,852,759","1,690,512",1,"1,174,788"
Cupido,Cupido,TINI,2/14/2023,905,50.7,"358,240,136",70.0,"216,226,939","844,073",0,"556,867"
Out thï¿½ï¿½,Lyfï¿,Yeat,9/9/2022,907,50.6,"338,097,605",73.0,"54,214,841","680,291",1,"664,273"
Winning Speech,Winning Speech,Karan Aujla,5/16/2024,910,50.6,"17,917,738",73.0,"28,606,016","488,260",0,"44,138"
Sobrio,Sobrio,Maluma,7/8/2021,908,50.6,"600,199,930",64.0,"743,954,914","2,817,472",0,"1,823,474"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,913,50.5,"247,682,011",72.0,"81,060,467","925,753",0,"1,390,039"
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,5/25/2018,916,50.5,"1,244,981,489",78.0,"847,656,575","6,337,444",1,"6,227,926"
Se Acabï¿½ï¿½ la Cuaren,Viva el Perreo,Jowell & Randy,8/6/2020,915,50.5,"73,468,394",51.0,"73,136,867","889,596",1,"1,057,655"
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,12/7/2018,912,50.5,"769,061,748",73.0,"233,288,549","2,397,744",1,"6,255,853"
End of Beginning,DECIDE,Djo,9/16/2022,918,50.5,"710,784,872",90.0,"44,322,144","594,352",0,"3,343,993"
K-POP,K-POP (Chopped & Screwed),Travis Scott,7/18/2023,917,50.5,"285,481,590",68.0,"40,688,228","817,018",1,"808,863"
favorite,favorite - EP,Isabel LaRosa,3/29/2024,919,50.5,"123,802,404",82.0,"21,277,734","440,764",0,"1,040,640"
Tattoo,Tattoo,Rauw Alejandro,2/13/2020,922,50.4,"341,742,937",58.0,"1,281,379,386","7,138,308",0,"713,534"
LA RANGER (feat. Myke Towers),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/2024,920,50.4,"79,786,203",76.0,"32,616,728","216,834",1,"236,268"
no tears left to cry,No Tears Left To Cry,Ariana Grande,4/20/2018,923,50.2,"1,331,371,819",71.0,"1,426,855,223","11,706,422",0,"6,415,036"
Upside Down,Upside Down,JVKE,8/18/2020,925,50.1,"121,391,098",54.0,"19,099,476","465,493",0,"1,184,072"
Nosso Quadro,AgroPlay Verï¿½ï¿½o V,AgroPlay,2/2/2023,926,50.1,"423,018,422",63.0,"361,813,279","1,727,192",0,"609,133"
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,5/17/2024,929,50.0,"33,245,898",78.0,"15,755,338","203,277",1,"171,732"
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,3/26/2020,930,50.0,"86,295,058",55.0,"1,022,945,729","6,994,273",0,"193,040"
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,928,50.0,"652,559,944",74.0,"317,320,682","2,195,610",1,"1,456,448"
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,3/17/2023,932,49.9,"142,512,477",72.0,"56,277,759","436,896",0,"549,127"
Corazï¿½ï¿½n Roto - R,Corazï¿½ï¿½n Roto (Re,Brray,4/7/2023,931,49.9,"203,212,015",67.0,"178,302,256","677,453",1,"836,117"
Summer,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Calvin Harris,1/1/2014,935,49.8,"1,497,564,072",81.0,"1,989,930,606","8,740,440",0,"11,380,320"
Murder On My Mind,Murder On My Mind,YNW Melly,6/1/2018,934,49.8,"1,055,558,326",72.0,"952,644,680","8,820,105",1,"2,087,864"
You Are The Reason,You Are The Reason,Calum Scott,11/17/2017,937,49.8,"1,042,531,612",73.0,"1,425,188,874","10,037,251",0,"6,610,744"
Bad Liar,Bad Liar,Imagine Dragons,11/6/2018,938,49.8,"1,056,929,910",74.0,"908,433,462","8,291,217",0,"11,123,506"
ROXANNE,ROXANNE,Arizona Zervas,10/10/2019,939,49.7,"1,474,968,552",68.0,"473,697,535","5,439,167",1,"4,556,715"
Softly,Making Memories,Karan Aujla,8/18/2023,941,49.6,"150,073,848",71.0,"232,389,376","1,637,844",0,"270,472"
Tacones Rojos,Tacones Rojos,Sebastian Yatra,10/22/2021,940,49.6,"641,756,842",68.0,"558,812,868","2,887,216",0,"2,934,783"
Ride the Vibe,Ride the Vibe,NEXZ,5/20/2024,942,49.6,"899,456",46.0,"31,419,384","139,393",0,"8,204"
family ties,family ties - Single,Baby Keem,8/27/2021,945,49.5,"786,298,066",77.0,"63,403,993","557,514",1,"1,938,598"
"Perdonarte, ï¿½ï¿½Para Q","Perdonarte, ï¿½ï¿½Para Q",Los ï¿½ï¿½ngeles Az,5/23/2024,943,49.5,"19,514,243",75.0,"17,545,232","195,611",0,"48,790"
Whatever It Takes,Whatever It Takes,Imagine Dragons,5/9/2017,944,49.5,"1,257,258,072",76.0,"1,192,880,501","7,815,307",0,"12,160,416"
POP!,IM NAYEON,NAYEON,6/24/2022,946,49.4,"296,828,933",69.0,"407,776,018","8,669,558",0,"445,036"
Lonely At The Top,Work Of Art,Asake,6/15/2023,947,49.4,"84,655,991",69.0,"75,076,449","510,479",0,"2,361,169"
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,6/6/2023,949,49.3,"242,661,037",74.0,"51,722,759","783,780",1,"2,552,266"
Si Se Da,Si Se Da,Myke Towers,2/26/2019,952,49.3,"317,223,968",54.0,"1,867,482,161","5,147,665",1,"1,796,737"
Holy (feat. Chance The Rapper),Holy,Justin Bieber,9/18/2020,950,49.3,"787,546,548",63.0,"396,861,382","6,241,346",0,"3,589,419"
No Role Modelz,2014 Forest Hills Drive,J. Cole,12/9/2014,955,49.3,"2,235,160,830",81.0,"656,310,159","4,852,226",1,"5,513,979"
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,954,49.3,"1,456,894,713",71.0,"1,523,128,022","9,966,382",0,"9,434,537"
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,951,49.3,"1,060,378,159",68.0,"514,581,598","6,465,409",0,"3,888,061"
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,7/27/2023,953,49.3,"118,804,209",71.0,"16,072,797","207,183",0,"908,754"
10:35,10:35,Tiï¿½ï¿,11/3/2022,958,49.2,"539,802,784",74.0,"94,379,586","652,780",0,"2,064,142"
One Right Now (with The Weeknd),One Right Now,Post Malone,11/5/2021,963,49.2,"631,789,333",65.0,"182,180,447","1,908,939",1,"2,041,348"
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,964,49.2,"1,654,956,613",77.0,"2,989,286,684","19,870,174",0,"15,974,659"
Secreto,Secreto,Anuel AA,1/15/2019,957,49.2,"759,388,276",65.0,"1,595,484,197","8,161,642",0,"1,317,266"
Toda Remix - Remix,Toda (Remix),Alex Rose,6/1/2018,959,49.2,"482,021,697",66.0,"1,965,829,285","5,786,525",1,"2,148,531"
I Hate U,I Hate U - Single,SZA,12/3/2021,956,49.2,"456,871,037",66.0,"142,820,854","1,393,679",1,"1,854,776"
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,962,49.2,"1,953,403,531",74.0,"48,443,287","734,538",1,"8,827,325"
Call Me Maybe,Kiss,Carly Rae Jepsen,1/1/2012,960,49.2,"1,394,048,309",77.0,"2,007,334,200","12,223,928",0,"14,252,942"
Pobre Corazï¿½,Pobre Corazï¿½ï¿½n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,3/2/2023,965,49.2,"187,127,704",65.0,"425,484,500","857,540",0,"432,240"
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2/1/2019,966,49.2,"995,452,298",65.0,"464,369,299","4,586,152",0,"14,464,887"
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,5/22/2023,961,49.2,"203,379,355",63.0,"361,600,873","2,581,315",0,"376,272"
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,4/20/2021,968,49.1,"257,167,813",55.0,"794,011,391","4,280,865",1,"1,621,368"
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,973,49.0,"582,023,797",70.0,"293,059,162","1,383,526",0,"1,946,266"
Aesthetic,Aesthetic,Xilo,2/14/2020,969,49.0,"27,312,761",38.0,"3,538,161","118,805",1,"26,178"
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,978,48.9,"123,243,341",79.0,"53,762,979","472,820",1,"121,403"
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,976,48.9,"721,002,104",71.0,"118,729,044","952,700",0,"7,799,522"
HEAT STICK,HEAT STICK,Shoreline Mafia,5/10/2024,979,48.8,"20,538,101",74.0,"3,575,151","101,311",1,"75,399"
Photograph,x (Wembley Edition),Ed Sheeran,1/1/2013,980,48.8,"2,525,355,904",77.0,"1,884,843,329","9,916,244",0,"17,163,765"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,2/16/2018,983,48.7,"667,508,675",61.0,"1,001,147,152","7,847,053",0,"8,994,016"
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,3/5/2021,985,48.6,"793,287,638",71.0,"104,966,782","872,923",1,"2,221,501"
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,5/18/2023,987,48.4,"229,120,157",69.0,"136,914,720","1,023,397",0,"154,129"
Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,988,48.4,"459,282,058",72.0,"100,210,832","673,502",1,"742,228"
At My Worst,The Prelude,Pink Sweat$,7/17/2020,991,48.3,"670,245,273",64.0,"537,033,479","4,862,491",0,"2,977,114"
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,993,48.2,"218,431,985",61.0,"336,505,073","3,901,948",0,"6,024,636"
Miles On It,Miles on It,Marshmello,5/3/2024,992,48.2,"41,924,126",79.0,"4,219,901","103,922",0,"189,286"
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,995,48.1,"2,284,977",22.0,"186,215","4,951",1,"44,984"
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,9/23/2022,996,48.1,"157,806,193",64.0,"216,925,153","1,357,039",1,"1,089,768"
Se Preparï¿,Se Preparï¿,Ozuna,8/10/2017,997,48.1,"846,909,112",73.0,"2,003,507,626","8,554,387",0,"2,526,044"
Lost on You,Lost On You,LP,3/24/2016,998,48.1,"837,042,727",70.0,"2,265,062,550","13,313,083",0,"16,431,621"
Leï¿½,Leï¿½ï¿½o - Si,Marï¿½ï¿½lia Mendo,12/8/2022,999,48.0,"415,752,953",66.0,"423,072,409","2,136,310",0,"280,389"
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,7/12/2023,"1,005",47.9,"159,909,273",64.0,"329,088,407","1,435,514",0,"109,794"
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,"1,001",47.9,"880,781,313",72.0,"432,457,883","3,689,786",1,"934,193"
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,"1,002",47.9,"399,707,517",69.0,"44,839,108","449,678",1,"2,145,146"
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,"1,004",47.9,"408,449",12.0,"524,571,173","1,510,602",0,75
Panini,Panini,Lil Nas X,6/20/2019,"1,003",47.9,"741,766,886",62.0,"659,070,547","10,294,151",0,"2,409,985"
She Had Me At Heads Carolina,Stereotype,Cole Swindell,4/8/2022,"1,007",47.9,"244,709,550",69.0,"92,809,269","501,049",0,"911,477"
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"1,008",47.8,"175,613,480",84.0,"15,237,337","222,750",0,"67,886"
bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,"1,012",47.7,"433,515,672",12.0,"37,971,085","871,048",1,"706,445"
"Ay, DiOs Mï¿½ï","Ay, DiOs Mï¿½ï",KAROL G,7/10/2020,"1,016",47.7,"599,215,039",61.0,"834,762,162","5,130,805",0,"1,362,793"
happier,SOUR,Olivia Rodrigo,5/21/2021,"1,015",47.7,"1,133,535,049",79.0,"352,845,171","3,883,946",1,"1,970,544"
Lalala,Lalala,Y2K,6/28/2019,"1,010",47.7,"968,133,091",66.0,"707,665,227","10,665,380",1,"9,155,025"
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,11/21/2022,"1,014",47.7,"23,191,929",51.0,"128,703,160","1,112,327",0,"188,814"
Tubarï¿½ï¿½o Te,Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,9/28/2022,"1,013",47.7,"150,177,750",59.0,"153,683,754","1,673,637",1,"1,072,415"
Chichiquetere,Chichiquetere,HCTM,8/6/2022,"1,017",47.6,"1,858,478",28.0,"163,462","3,981",0,"49,225"
After Hours,After Hours,Kehlani,4/4/2024,"1,019",47.6,"34,629,239",14.0,"2,560,026","50,310",1,"349,619"
Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,"1,018",47.6,"11,477,477",36.0,"11,457,166","123,604",0,"1,177,639"
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,1/1/2015,"1,024",47.5,"2,178,606,166",79.0,"1,256,080,361","8,723,122",0,"15,829,169"
Mmhmm,Mmhmm,BigXthaPlug,10/6/2023,"1,020",47.5,"155,648,648",82.0,"27,758,776","286,628",1,"479,173"
BOP,KIRK,DaBaby,9/27/2019,"1,021",47.5,"820,923,123",68.0,"661,665,888","6,303,898",1,"2,417,871"
Husn,Husn,Anuv Jain,12/1/2023,"1,023",47.5,"181,457,783",74.0,"130,834,495","1,816,271",0,"355,361"
Titanium (feat. Sia),Nothing But The Beat,Sia,1/1/2011,"1,031",47.4,"1,634,403,761",74.0,"1,855,838,617","9,070,363",0,"15,214,627"
Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,"1,027",47.4,"296,648,613",68.0,"510,727,740","6,497,078",0,"422,144"
No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,5/3/2023,"1,025",47.4,"218,340,846",64.0,"223,159,269","879,627",1,"744,536"
