Track,Album_Name,Artist,Release_Date,All_Time_Spotify_Rank,Track_Score,Spotify_Streams,Spotify_Popularity,YouTube_Views,YouTube_Likes,Explicit_Track_Ratings,Shazam_Counts
Mitu,Mitu - Single,Maian,1/19/2023,55,194.3,"55,346",13.0,"2,432,265,978","8,162,101",0,200
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,56,194.0,"4,281,468,720",83.0,"833,807,130","10,093,211",0,"28,994,660"
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,57,192.3,"1,337,619,917",80.0,"193,982,443","2,023,998",1,"6,205,060"
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,60,189.1,"1,556,275,789",74.0,"254,051,906","3,364,206",0,"10,192,485"
Supernova,Supernova,aespa,5/13/2024,63,186.1,"69,729,033",81.0,"111,310,770","1,724,693",0,"63,283"
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,64,184.8,"1,811,990,630",79.0,"1,516,863,120","8,870,768",1,"3,393,920"
Calm Down,Calm Down,Rema,2/10/2022,66,180.1,"584,427,088",68.0,"1,141,904,909","8,766,235",0,"22,563,407"
CARNIVAL,CARNIVAL,ýý$,2/8/2024,67,179.6,"466,887,055",84.0,"27,688,666","449,112",1,"1,982,000"
Kill Bill,SOS,SZA,12/8/2022,68,177.7,"1,873,746,537",82.0,"220,538,045","3,153,793",0,"4,873,832"
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,69,177.6,"891,720,245",82.0,"144,741,616","2,761,964",0,"4,476,509"
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,70,176.2,"46,567",6.0,"2,038,459,981","6,076,902",0,903
Heat Waves,Heat Waves,Glass Animals,6/29/2020,71,175.0,"2,996,181,078",82.0,"1,272,898,075","14,947,520",0,"17,848,778"
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,73,174.3,"946,941,510",74.0,"776,436,101","12,951,756",0,"2,237,762"
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,74,173.6,"7,909",4.0,"1,999,374,091","5,708,577",0,"1,412"
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,75,170.3,"1,010,494,713",67.0,"3,203,314,695","41,487,213",0,"8,856,633"
un x100to,un x100to,Grupo Frontera,4/17/2023,76,170.2,"1,008,495,696",75.0,"878,892,413","4,425,283",0,"2,283,747"
Sprinter,Sprinter - Single,Dave,6/1/2023,78,168.1,"692,512,930",78.0,"219,666,692","2,332,307",1,"3,093,667"
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,79,167.8,"169,410,711",90.0,"19,402,457","997,411",0,"388,625"
TQG,TQG,KAROL G,2/23/2023,80,167.8,"1,024,381,758",78.0,"1,102,289,596","8,953,293",1,"3,488,226"
Pepas,Pepas,Farruko,6/24/2021,82,167.3,"1,500,499,584",74.0,"1,431,591,689","11,553,088",1,"17,210,946"
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,84,166.5,"1,215,336,974",74.0,"701,880,622","3,831,236",0,"3,435,177"
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,85,166.2,"860,026,452",80.0,"173,044,031","1,640,319",0,"3,199,636"
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,86,164.9,"1,032,225,805",79.0,"920,878,032","3,118,229",1,"2,635,577"
Easy On Me,Easy On Me,Adele,10/14/2021,88,163.2,"1,720,918,065",73.0,"1,194,846,205","13,561,925",0,"7,569,155"
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,89,163.1,"1,514,239,759",77.0,"1,366,181,141","9,358,441",1,"5,133,847"
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,90,162.0,"333,202,114",68.0,"203,487,345","2,084,532",1,"4,207,535"
Anti-Hero,Midnights,Taylor Swift,10/21/2022,91,161.8,"1,563,224,246",80.0,"203,259,285","3,482,508",0,"4,703,179"
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,92,161.7,"1,692,951,462",78.0,"1,132,539,234","8,795,731",0,"6,836,893"
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,93,161.0,"255,076,355",86.0,"202,206,901","2,596,912",0,"659,825"
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,94,158.2,"275,349,653",70.0,"347,506,860","1,553,295",1,"1,245,874"
La Diabla,La Diabla - Single,Xavi,12/2/2023,95,155.9,"649,404,552",83.0,"433,839,212","2,750,086",0,"1,380,069"
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,96,153.6,"851,085,705",70.0,"211,810,152","2,461,166",1,"2,580,691"
Snooze,SOS,SZA,12/9/2022,97,153.3,"1,013,350,808",84.0,"390,677,417","2,521,214",1,"3,129,609"
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,98,153.1,"359,803,580",86.0,"369,321,334","1,839,225",1,"1,002,835"
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,102,152.1,"242,070,373",76.0,"22,907,992","261,664",0,"2,219,984"
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,103,150.7,"478,150,858",78.0,"113,379,734","1,312,763",1,"2,255,465"
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,104,150.5,"61,382,407",43.0,"9,977,490","201,210",0,"3,819,161"
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,105,150.4,"460,156,070",77.0,"8,183,226","98,257",0,"9,279,625"
Training Season,Training Season,Dua Lipa,2/15/2024,106,148.9,"251,153,869",76.0,"66,691,067","961,957",0,"2,047,771"
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,107,148.1,"205,206,688",84.0,"39,453,253","672,789",1,"900,933"
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,108,147.4,"32,942,304",74.0,"57,861,795","1,257,935",0,"29,736"
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,109,146.6,"1,911,559,785",78.0,"441,257,231","4,829,633",1,"11,988,760"
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,110,145.3,"2,014,959,725",70.0,"1,003,346,208","16,856,186",1,"12,693,846"
Pedro,Pedro - Single,Jaxomy,3/29/2024,111,144.6,"168,145,583",85.0,"35,008,949","717,214",0,"2,408,838"
Fast Car,Gettin' Old,Luke Combs,3/24/2023,112,144.5,"518,988,585",80.0,"107,703,759","768,813",0,"3,108,167"
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,113,144.0,"247,399,972",80.0,"389,540,239","4,392,933",0,"1,069,500"
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,114,144.0,"5,712,985",44.0,"3,120,073","56,276",0,"249,823"
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,116,143.9,"3,358,704,125",79.0,"2,763,188,773","19,410,390",0,"1,569,935"
Hands,Hands,Dianï¿½,8/1/2022,115,143.9,"126,914",1.0,"2,435,813,922","7,208,467",0,295
Saturn,Saturn - Single,SZA,2/24/2024,117,142.8,"343,090,427",87.0,"38,173,339","349,660",0,"745,798"
Believer,Believer,Imagine Dragons,1/31/2017,119,142.2,"3,006,226,762",81.0,"4,495,059,988","42,240,881",0,"21,306,706"
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,120,141.0,"787,155,930",77.0,"357,772,653","2,590,835",1,"3,534,164"
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,121,139.5,"532,605,345",81.0,"97,958,347","1,237,197",1,"1,861,958"
ANDO,ANDO,Jere Klein,9/27/2023,122,139.0,"292,789,738",72.0,"406,307,035","809,942",1,"1,195,337"
First Class,First Class,Jack Harlow,4/8/2022,123,138.6,"818,858,244",71.0,"231,229,581","2,756,840",1,"4,244,972"
FE!N,UTOPIA,Travis Scott,7/28/2023,124,137.8,"659,010,786",86.0,"125,203,447","1,990,342",1,"1,839,283"
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,127,136.2,"1,607,421,145",83.0,"409,785,349","3,326,477",0,"9,091,826"
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,128,136.2,"438,796,949",78.0,"509,727,241","2,202,866",0,"865,444"
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,130,133.0,"1,867,736,006",76.0,"747,126,783","10,795,292",1,"10,228,436"
Dynamite,Dynamite,BTS,8/21/2020,131,132.3,"1,872,577,908",74.0,"2,638,957,320","62,311,179",0,"7,896,781"
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,133,129.7,"3,427,498,835",82.0,"2,153,701,892","20,891,433",0,"29,266,297"
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,134,129.6,"230,849,195",64.0,"363,082,908","5,135,848",0,"623,446"
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,135,129.5,"720,720,922",77.0,"221,078,988","2,557,839",0,"3,086,624"
